Genre,Feature,Statistic,P-value,Decision
progressive_house,spectral_kurtosis_mean,0.3570302128791809,1.7923119585705471e-13,Fail
progressive_house,spectral_rms_mean,0.9923858046531677,0.98574298620224,Pass
progressive_house,spectral_rolloff_mean,0.8655713200569153,4.2001742258435115e-05,Fail
progressive_house,spectral_skewness_mean,0.6678667664527893,2.2914314889987963e-09,Fail
progressive_house,spectral_spread_mean,0.9641389846801758,0.132498636841774,Pass
progressive_house,zerocr_mean,0.9131051898002625,0.0013404524652287364,Fail
progressive_house,mfcc1_mean,0.9493509531021118,0.032085441052913666,Fail
progressive_house,mfcc2_mean,0.9715444445610046,0.2671799957752228,Pass
progressive_house,mfcc3_mean,0.9617542624473572,0.10529201477766037,Pass
progressive_house,mfcc4_mean,0.972541093826294,0.292762815952301,Pass
progressive_house,mfcc5_mean,0.896683394908905,0.00037407560739666224,Fail
progressive_house,mfcc6_mean,0.9377126097679138,0.010949869640171528,Fail
progressive_house,mfcc7_mean,0.9573695659637451,0.06898032128810883,Pass
progressive_house,mfcc8_mean,0.986675500869751,0.8405563831329346,Pass
progressive_house,mfcc9_mean,0.9916335344314575,0.976660966873169,Pass
progressive_house,mfcc10_mean,0.9669435620307922,0.17335547506809235,Pass
progressive_house,mfcc11_mean,0.9793182611465454,0.5235794186592102,Pass
progressive_house,mfcc12_mean,0.972275972366333,0.2857564687728882,Pass
progressive_house,mfcc13_mean,0.9792072772979736,0.5190327167510986,Pass
progressive_house,chroma1_mean,0.823279857635498,3.150524889861117e-06,Fail
progressive_house,chroma2_mean,0.7878060340881348,4.643897852929513e-07,Fail
progressive_house,chroma3_mean,0.8534611463546753,1.922218143590726e-05,Fail
progressive_house,chroma4_mean,0.6554802656173706,1.4273873194525777e-09,Fail
progressive_house,chroma5_mean,0.6588839292526245,1.6238199673779263e-09,Fail
progressive_house,chroma6_mean,0.7842555642127991,3.875277059250948e-07,Fail
progressive_house,chroma7_mean,0.6903578042984009,5.5790696507074244e-09,Fail
progressive_house,chroma8_mean,0.7040659189224243,9.797059163929589e-09,Fail
progressive_house,chroma9_mean,0.8605719804763794,3.0288181733340025e-05,Fail
progressive_house,chroma10_mean,0.8634105324745178,3.643901436589658e-05,Fail
progressive_house,chroma11_mean,0.8249118328094482,3.4582576518005226e-06,Fail
progressive_house,chroma12_mean,0.8003134727478027,8.91436968686321e-07,Fail
progressive_house,bpm,0.865669846534729,4.2275791201973334e-05,Fail
progressive_house,danceability,0.9080313444137573,0.0008945881272666156,Fail
progressive_house,onset_rate,0.9541687369346619,0.05072883889079094,Pass
progressive_house,chords_changes_rate,0.9661902189254761,0.1613202840089798,Pass
progressive_house,chords_number_rate,0.9434463977813721,0.018482381477952003,Fail
progressive_house,chord,0.9191465973854065,0.002196564106270671,Fail
progressive_house,chord_strength,0.9247065782546997,0.0035033910535275936,Fail
progressive_house,chord_scale,0.5623590350151062,5.593799382030973e-11,Fail
progressive_house,key,0.8656734824180603,4.228606849210337e-05,Fail
progressive_house,key_scale,0.5879474878311157,1.2953672856585996e-10,Fail
progressive_house,key_strength,0.9809954762458801,0.5946433544158936,Pass
progressive_house,meter,0.6530702710151672,1.3035027501828722e-09,Fail
progressive_house,pulse_clarity_mean,0.5673261880874634,6.566590327050648e-11,Fail
progressive_house,pulse_clarity_low_mean,0.9644134044647217,0.13604190945625305,Pass
progressive_house,pulse_clarity_middle_mean,0.876984179019928,9.074712579604238e-05,Fail
progressive_house,pulse_clarity_high_mean,0.8901500105857849,0.00023083374253474176,Fail
progressive_house,attack_slope_mean,0.9859940409660339,0.8133662343025208,Pass
progressive_house,attack_slope_low_mean,nan,1.0,Pass
progressive_house,attack_slope_middle_mean,0.9788210988044739,0.5033826231956482,Pass
progressive_house,attack_slope_high_mean,0.9596506953239441,0.08594637364149094,Pass
progressive_house,spectral_flatness_mean,0.8671173453330994,4.65291304863058e-05,Fail
progressive_house,spectral_flatness_low_mean,0.6188436150550842,3.747752941318794e-10,Fail
progressive_house,spectral_flatness_middle_mean,0.8712722063064575,6.145035877125338e-05,Fail
progressive_house,spectral_flatness_high_mean,0.9798527956008911,0.5457724928855896,Pass
progressive_house,entropia_clarity,0.5019741654396057,8.742643761716629e-12,Fail
progressive_house,entropia_clarity_low,0.846113383769989,1.2162348866695538e-05,Fail
progressive_house,entropia_clarity_middle,0.847990870475769,1.3655801922141109e-05,Fail
progressive_house,entropia_clarity_high,0.8114069700241089,1.6222616068262141e-06,Fail
progressive_house,attack_time,0.9352253079414368,0.008760055527091026,Fail
progressive_house,attack_time_low_mean,0.9836543798446655,0.7125766277313232,Pass
progressive_house,attack_time_middle_mean,0.8263967633247375,3.7659060581063386e-06,Fail
progressive_house,attack_time_high_mean,0.859702467918396,2.86317244899692e-05,Fail
progressive_house,spectral_flux_mean,0.9680080413818359,0.19182632863521576,Pass
progressive_house,spectral_flux_low_mean,0.9780579805374146,0.47328734397888184,Pass
progressive_house,spectral_flux_middle_mean,0.9931979775428772,0.9924651384353638,Pass
progressive_house,spectral_flux_high_mean,0.9629586935043335,0.11826179921627045,Pass
dubstep,loudness,0.8363228440284729,6.7291971390659455e-06,Fail
dubstep,dissonance_mean,0.7821642756462097,3.4864191889028007e-07,Fail
dubstep,dynamic_complexity,0.8997921943664551,0.00047295214608311653,Fail
dubstep,pitch_salience_mean,0.9297086000442505,0.005387421231716871,Fail
dubstep,spectral_centroid_mean,0.739242672920227,4.504142836481151e-08,Fail
dubstep,spectral_complexity_mean,0.9628384113311768,0.11689869314432144,Pass
dubstep,spectral_decrease_mean,0.9472172260284424,0.026251140981912613,Fail
dubstep,spectral_energy_mean,0.8350418210029602,6.236793979041977e-06,Fail
dubstep,spectral_energyband_high_mean,0.8331171274185181,5.56723080080701e-06,Fail
dubstep,spectral_energyband_low_mean,0.9369164109230042,0.0101923868060112,Fail
dubstep,spectral_energyband_middle_mean,0.8307440876960754,4.844655450142454e-06,Fail
dubstep,spectral_entropy_mean,0.8561855554580688,2.2848184016766027e-05,Fail
dubstep,spectral_kurtosis_mean,0.4288839101791382,1.1280917606298901e-12,Fail
dubstep,spectral_rms_mean,0.9176700115203857,0.0019443302880972624,Fail
dubstep,spectral_rolloff_mean,0.9414808750152588,0.015424531884491444,Fail
dubstep,spectral_skewness_mean,0.7249610424041748,2.3889024092227373e-08,Fail
dubstep,spectral_spread_mean,0.9805572628974915,0.5756949782371521,Pass
dubstep,zerocr_mean,0.9625011086463928,0.11315768957138062,Pass
dubstep,mfcc1_mean,0.8726605176925659,6.750343163730577e-05,Fail
dubstep,mfcc2_mean,0.9583603143692017,0.07588876783847809,Pass
dubstep,mfcc3_mean,0.9689139127731323,0.208991140127182,Pass
dubstep,mfcc4_mean,0.955092191696167,0.055421244353055954,Pass
dubstep,mfcc5_mean,0.9864786863327026,0.8328457474708557,Pass
dubstep,mfcc6_mean,0.852870523929596,1.8519502191338688e-05,Fail
dubstep,mfcc7_mean,0.9435293078422546,0.018624473363161087,Fail
dubstep,mfcc8_mean,0.9613935947418213,0.10169027745723724,Pass
dubstep,mfcc9_mean,0.9672470092773438,0.17844144999980927,Pass
dubstep,mfcc10_mean,0.9613593220710754,0.10135500133037567,Pass
dubstep,mfcc11_mean,0.9855199456214905,0.7937150597572327,Pass
dubstep,mfcc12_mean,0.9724230766296387,0.28962624073028564,Pass
dubstep,mfcc13_mean,0.9658615589141846,0.15632493793964386,Pass
dubstep,chroma1_mean,0.7151211500167847,1.561906870506391e-08,Fail
dubstep,chroma2_mean,0.8141822218894958,1.8903776890510926e-06,Fail
dubstep,chroma3_mean,0.9145134091377258,0.001502170111052692,Fail
dubstep,chroma4_mean,0.8899250626564026,0.00022708275355398655,Fail
dubstep,chroma5_mean,0.9505432844161987,0.03591558709740639,Fail
dubstep,chroma6_mean,0.9633592367172241,0.12291572242975235,Pass
dubstep,chroma7_mean,0.9790859818458557,0.5140885710716248,Pass
dubstep,chroma8_mean,0.9731464385986328,0.30931535363197327,Pass
dubstep,chroma9_mean,0.9747096300125122,0.355734258890152,Pass
dubstep,chroma10_mean,0.9173799753189087,0.0018984798807650805,Fail
dubstep,chroma11_mean,0.8951740264892578,0.00033419468672946095,Fail
dubstep,chroma12_mean,0.9274150729179382,0.004417275078594685,Fail
dubstep,bpm,0.4939865469932556,6.921181509855767e-12,Fail
dubstep,danceability,0.9667597413063049,0.17034205794334412,Pass
dubstep,onset_rate,0.9749990105628967,0.36491891741752625,Pass
dubstep,chords_changes_rate,0.9746808409690857,0.3548297584056854,Pass
dubstep,chords_number_rate,0.9632161259651184,0.12123267352581024,Pass
dubstep,chord,0.8044164180755615,1.1098362620032276e-06,Fail
dubstep,chord_strength,0.9663562178611755,0.16390104591846466,Pass
dubstep,chord_scale,0.6344941854476929,6.563180554586268e-10,Fail
dubstep,key,0.47601449489593506,4.129593368651374e-12,Fail
dubstep,key_scale,0.6315712928771973,5.904013389290697e-10,Fail
dubstep,key_strength,0.924627959728241,0.0034800542052835226,Fail
dubstep,meter,0.7587908506393433,1.1125088406060968e-07,Fail
dubstep,pulse_clarity_mean,0.8009548187255859,9.223406323144445e-07,Fail
dubstep,pulse_clarity_low_mean,0.9663299322128296,0.16349045932292938,Pass
dubstep,pulse_clarity_middle_mean,0.8653697967529297,4.1446779505349696e-05,Fail
dubstep,pulse_clarity_high_mean,0.9433525800704956,0.018322883173823357,Fail
dubstep,attack_slope_mean,0.9594557881355286,0.08434540778398514,Pass
dubstep,attack_slope_low_mean,nan,1.0,Pass
dubstep,attack_slope_middle_mean,0.9615116715431213,0.1028561219573021,Pass
dubstep,attack_slope_high_mean,0.9507275223731995,0.03654820844531059,Fail
dubstep,spectral_flatness_mean,0.8101056814193726,1.51066490161611e-06,Fail
dubstep,spectral_flatness_low_mean,0.4559314250946045,2.3527475540713327e-12,Fail
