Class,Feature,B (β),SE,Wald χ²,p-value,CI Lower (95%),CI Upper (95%)
Dark minimal techno,Mfcc1,-1.422549089167878,0.31969002525948553,19.80050888124168,8.59597879701778e-06,-2.0491415386764698,-0.7959566396592864
Dark minimal techno,Mfcc2,0.37843521303364885,0.23493599817577687,2.5946808521516957,0.10722303604852941,-0.08203934339087382,0.8389097694581715
Dark minimal techno,Mfcc3,0.9697137556128038,0.17391452300060786,31.08961990939843,2.4638545383336156e-08,0.6288412905316124,1.3105862206939953
Dark minimal techno,Mfcc4,-0.20981806617564092,0.13354906601632352,2.4683347063652787,0.11616093807531329,-0.471574235567635,0.05193810321635317
Dark minimal techno,Mfcc5,0.485480775821071,0.10634782136796661,20.839480085955845,4.994278211836986e-06,0.27703904593985645,0.6939225057022855
Dark minimal techno,Bpm,-0.07258539941535955,0.06396923773102607,1.2875265420695672,0.25650427827256506,-0.19796510536817064,0.05279430653745154
Dark minimal techno,Onset rate,-0.16036626003147825,0.07407941592369552,4.686308802811268,0.030403893810202923,-0.30556191524192144,-0.015170604821035022
Dark minimal techno,Chords changes rate,0.46116773812056183,0.06977200163618409,43.68732676261779,3.852585210192896e-11,0.324414614913641,0.5979208613274827
Dark minimal techno,Chords number rate,-0.46848950198755696,0.0746673816635186,39.3675041980537,3.510913999620612e-10,-0.6148375700480534,-0.3221414339270605
Dark minimal techno,Key scale,0.007483815846970686,0.05465662533947432,0.018748242295827063,0.8910906935584286,-0.09964316981839896,0.11461080151234035
Dark minimal techno,Pulse clarity low,-0.4394728587978988,0.15089774907193157,8.482006378305716,0.0035867630520010265,-0.7352324469788847,-0.14371327061691297
Dark minimal techno,Pulse clarity middle,-0.23763551744093667,0.0889441566345681,7.138186000219914,0.007545945324723449,-0.41196606444469014,-0.0633049704371832
Dark minimal techno,Pulse clarity high,0.018900723485006023,0.1590461414627806,0.014122467443303616,0.9054037116793017,-0.2928297137820439,0.330631160752056
Dark minimal techno,Attack slope low,0.3659364874079354,0.0890169640523531,16.89918938753477,3.941841275325083e-05,0.19146323786532332,0.5404097369505474
Dark minimal techno,Attack slope middle,-0.11316906018761315,0.19598562545554954,0.3334317717446503,0.5636452898083284,-0.4973008860804902,0.27096276570526395
Dark minimal techno,Attack slope high,0.9514924433239583,0.20107603504093813,22.39185438209389,2.2231489636113585e-06,0.5573834146437195,1.345601472004197
Dark minimal techno,Spectral flatness low,0.014731958673214834,0.16231826236412167,0.00823732524259614,0.9276835233933877,-0.3034118355604636,0.3328757529068933
Dark minimal techno,Spectral flatness middle,0.11862417947047206,0.14149631084418504,0.702839577562533,0.4018311968756073,-0.1587085897841306,0.3959569487250747
Dark minimal techno,Spectral flatness high,-0.4558535871816667,0.10347859530791005,19.406611151722554,1.0564072750788503e-05,-0.6586716339851704,-0.253035540378163
Dark minimal techno,Attack time low,-0.21018797521380514,0.11499019778378755,3.3411355180326816,0.0675679647237807,-0.43556876287002877,0.015192812442418463
Dark minimal techno,Attack time middle,0.16691552004359816,0.09891923635381296,2.8472914878467193,0.09152801668951087,-0.026966183209875233,0.36079722329707153
Dark minimal techno,Attack time high,0.00437768985920575,0.06833103801307933,0.004104440313433588,0.9489177491135035,-0.12955114464642972,0.13830652436484123
