Class,Feature,B (β),SE,Wald χ²,p-value
Dark minimal techno,Chords changes rate,0.5476355541477217,0.6424273648833675,0.7266666155826461,0.3939658065954601
Dark minimal techno,Chords number rate,-1.0292054491073013,0.7243677050606553,2.0187660593430334,0.15536535089176176
Dark minimal techno,Key scale,-0.06827329214957092,0.48307587698168014,0.019974273319141266,0.8876089590723203
Dark minimal techno,Pulse clarity low,-0.33952950807657656,1.272857522824396,0.07115336786516503,0.7896648213551777
Dark minimal techno,Pulse clarity middle,-0.30958411918648726,0.8986081959879858,0.11869067458929661,0.7304589198109037
Dark minimal techno,Pulse clarity high,-0.027556819254953003,1.275670316436352,0.0004666392606314111,0.9827655700279964
Dark minimal techno,Attack slope low,0.4316782250352504,0.9024725434106623,0.2287980341854572,0.6324165037077877
Dark minimal techno,Attack slope middle,-0.6002711202054654,1.697654528487046,0.12502482814851146,0.7236472931136151
Dark minimal techno,Attack slope high,0.374105051251419,1.7787227487874144,0.04423546790596558,0.8334161352952631
Dark minimal techno,Spectral flatness low,-0.2234201267186237,3.323121323373027,0.004520143195928265,0.9463970023101693
Dark minimal techno,Spectral flatness middle,0.39972878914322496,2.7147966606796703,0.02167984851894538,0.8829419702901083
Dark minimal techno,Spectral flatness high,-0.27911274236444933,0.7480480354986072,0.1392195912007385,0.7090580799992919
Dark minimal techno,Attack time low,-0.251246627847302,0.7983017647141731,0.09905269686298075,0.7529694098921994
Dark minimal techno,Attack time middle,0.13858329965717706,1.3613026359358662,0.010363642524637472,0.9189138563725683
Dark minimal techno,Attack time high,0.17638613094416464,0.7936071751876345,0.04939894758032478,0.8241124693788414
Dark minimal techno,Spectral flux low,0.16585431057189365,1.0309031729891485,0.0258831884330989,0.8721859221615611
Dark minimal techno,Spectral flux middle,-0.20285348720286706,2.1270278726952143,0.00909533278684974,0.9240213775136217
Dark minimal techno,Spectral flux high,-0.32535085277730164,2.243399593656273,0.0210324868013555,0.8846904904196707
Dark minimal techno,Bpm,0.7081338250790252,1.0842909217391041,0.42651964192850017,0.5137016671683525
Psytrance,Loudness,0.23679914639438346,1.23430418658371,0.03680576602106354,0.8478610442434136
Psytrance,Dissonance,0.7320441772901538,4.124042809355747,0.03150853794539866,0.8591106034007341
Psytrance,Dynamic complexity,-0.5843263254468275,2.572885419269928,0.05157865513649723,0.8203387167006752
